source_id,source_status,title,institution,document_type,effective_or_published_date,article_or_section,local_file,source_url,retrieved_at,usage_terms,verification_note,summary
SRC-HTA-LAW,official_verified,주택임대차보호법,국가법령정보센터·법무부·국토교통부,법령,2026-01-02 시행(법률 제21065호),전체,SRC-HTA-LAW.txt,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=276291,2026-07-16,재배포 허용: 저작권법 제7조 법령 및 국가법령정보센터 자유이용 정책 적용; 출처 표시,현행 시행일·공포번호·소관기관과 공식 본문 endpoint를 국가법령정보센터에서 확인,"임대차 보호·대항력·우선변제·보증금 반환 등 임차인 보호 기본 법령."
SRC-HTA-DECREE,official_verified,주택임대차보호법 시행령,국가법령정보센터·법무부·국토교통부,법령,2026-07-01 시행(대통령령 제36423호),전체,SRC-HTA-DECREE.txt,https://law.go.kr/LSW/lsInfoP.do?lsId=004950,2026-07-16,재배포 허용: 저작권법 제7조 법령 및 국가법령정보센터 자유이용 정책 적용; 출처 표시,현행 시행일·공포번호·소관기관과 공식 본문 endpoint를 국가법령정보센터에서 확인,주택임대차보호법 위임사항 세부 규정.
SRC-REALEST-LAW,unverified,부동산 거래신고 등에 관한 법률,국토교통부,법령,확인 필요,전체,부동산 거래신고 등에 관한 법률(법률)(제20194호)(20240517).hwp,,2026-07-16,원문 수집·재배포 금지,기존 시행일이 최신 현행본과 일치하는지 이번 검증에서 확정하지 못해 OfficialSource 제외,주택 임대차 신고 등 거래신고 근거 법령.
SRC-STD-LEASE,official_verified,주택임대차 표준계약서(2023.10.6. 개정·원본게시용),법무부,표준서식,2023-10-06 개정,전체,SRC-STD-LEASE.txt,https://www.moj.go.kr/moj/163/subview.do,2026-07-19,재배포 허용: 공공누리 제1유형(출처표시); 출처 표시,법무부 자료실에서 2023-10-06 개정이 현행 최신본임을 확인(원본게시용 PDF); 관리비 세부금액 기재 개정 반영,"계약서 스키마·기본 특약의 기준 문서. 반환·수리·권리변동 표준 문구 포함."
SRC-CONFIRM-FORM,official_verified,중개대상물 확인·설명서[Ⅰ](주거용 건축물),국가법령정보센터·국토교통부,법령 서식,2024-07-02 개정,공인중개사법 시행규칙 별지 제20호서식,SRC-CONFIRM-FORM.txt,https://www.law.go.kr/LSW/flDownload.do?bylClsCd=110202&flSeq=141860969&gubun=,2026-07-21,재배포 허용: 국가법령정보센터 법적효력·저작권 정책과 저작권법 제7조 적용 법령정보; 출처 표시,국가법령정보센터의 현행 공식 별지 서식·개정일·자유이용 정책을 확인하고 목적물·권리관계·관리비 관련 부분을 정규화,"권리관계·관리비 등 중개사 확인·설명 기재 서식."
SRC-BLDG-LEDGER,official_verified,일반건축물대장(을) 소유자현황,국가법령정보센터·국토교통부,법령 서식,2023-08-01 개정,건축물대장의 기재 및 관리 등에 관한 규칙 별지 제2호의2서식,[별지 제2호의2서식] 일반건축물대장(을) 소유자현황.pdf,https://www.law.go.kr/LSW/flDownload.do?bylClsCd=110202&flSeq=131796573&gubun=,2026-07-16,공식 원문 링크만 사용; 원문 파일 재배포 전 국가법령정보센터 이용조건 별도 확인,기존 inventory의 별지 제2호 표기를 현행 별지 제2호의2서식으로 정정,건축물 소재지·소유자 현황 참고 서식.
SRC-REGISTRY-SAMPLE,synthetic_reference,모의 등기부 등본 양식,프로젝트 합성 참고자료,합성 양식,해당 없음,갑구·을구,모의 등기부 등본 양식.pdf,,2026-07-16,합성 데이터 구조·평가에만 사용; OfficialSource 노출 금지,공식기관 원문이 아닌 프로젝트 합성 레이아웃 참고자료임을 확인,합성 등기부 제작 기준 레이아웃이며 실제 등기 데이터가 아님.
SRC-REGISTRY-APPLY,excluded,등기사항증명서 발급신청서 샘플,발행기관 확인 불가,제3자 서식,확인 불가,신청서,예스폼_후견등기무료양식등기사항증명서발급신청서샘플.hwp,,2026-07-16,사용 금지,파일명이 예스폼 제3자 샘플이며 인터넷등기소 공식 원문·발행기관을 확인할 수 없어 제외,최신 등기 발급 절차 근거로 사용할 수 없음.
SRC-FIXDATE-FORM,unverified,확정일자 신청서,발행기관·주거용 적용 범위 확인 필요,서식,확인 필요,별지 제1호서식,[별지 제1호서식] 확정일자 신청서.pdf,,2026-07-16,원문 수집·재배포 금지,검색된 공식 별지 제1호는 상가건물 임대차용이므로 주거용 근거로 동일시하지 않고 보류,확정일자 신청 절차 후보 자료.
SRC-POA-FORM,official_verified,위임장,국가법령정보센터·행정안전부,행정규칙 서식,2024-09-27 개정,어디서나 민원처리제 운영지침 별지 제2호서식,[별지 2] 위임장(어디서나 민원처리제 운영지침).pdf,https://www.law.go.kr/LSW/flDownload.do?bylClsCd=200203&flNm=%5B%EB%B3%84%EC%A7%80+2%5D+%EC%9C%84%EC%9E%84%EC%9E%A5&flSeq=145248023,2026-07-16,공식 원문 링크만 사용; 원문 파일 재배포 전 국가법령정보센터 이용조건 별도 확인,행정안전부 예규의 공식 별지 제2호 위임장을 확인; 부동산 대리계약 전용 서식은 아님,민원 신청·수령 위임 서식 참고.
SRC-MORTGAGE-GUIDE,unverified,근저당권설정·말소 신청 작성 안내,대법원 인터넷등기소 추정,안내,확인 필요,전체,"00.관련사건 신청서 작성 방법 안내(근저당권설정, 말소, 추가근저당권설정).hwp",,2026-07-16,원문 수집·재배포 금지,인터넷등기소의 정확한 공식 원문 URL·발행일·이용조건을 확인하지 못해 OfficialSource 제외,근저당권 설정·말소 개념 안내 후보.
SRC-BROKER-CONTRACT,official_verified,일반중개계약서,국가법령정보센터·국토교통부,법령 서식,2014-07-29 개정,공인중개사법 시행규칙 별지 제14호서식,일반중개계약서(공인중개사법 시행규칙).pdf,https://www.law.go.kr/flDownload.do?flSeq=141860929,2026-07-16,공식 원문 링크만 사용; 원문 파일 재배포 전 국가법령정보센터 이용조건 별도 확인,국가법령정보센터의 공식 별지 제14호서식과 개정일 확인,중개의뢰인과 개업공인중개사 간 일반중개계약 서식.
SRC-MOLIT-CHECKLIST,official_verified,안심 전세계약 체크리스트,국토교통부·법무부·대법원·경찰청·HUG,공식 가이드,2025-08-28 발행,3·3·3 안심계약 체크리스트,SRC-MOLIT-CHECKLIST.txt,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091157,2026-07-20,재배포 허용: 팀 예외 승인(2026-07-20) 본 체크리스트 1건 한정 벡터DB 근거 사용; 공공누리 유형 표시 미확인; 출처 표시,국토교통부 공식 보도자료의 발행일·관계기관 합동 제작·첨부 체크리스트를 확인; 파일에 공공누리 유형 표시 없어 재배포 규칙 위배이나 2026-07-20 팀 예외 규정으로 이 1건만 로컬 원문(정규화 txt) 적재,계약 전·후 확인 항목 공식 체크리스트.
SRC-HUG,official_verified,전세보증금반환보증 상품개요,주택도시보증공사(HUG),공식 상품 안내,수시 갱신,상품개요·보증조건·신청기한,hug_support_241204.pdf,https://m.khug.or.kr/hug/web/ig/dr/igdr000001.jsp?tabMenu=Y,2026-07-16,공식 웹페이지 링크·메타데이터만 사용; 별도 첨부 재배포 금지,기존 2024 PDF 대신 현재 HUG 공식 상품 페이지를 원문으로 확정; 조건은 수시 변경되므로 조회일과 함께 사용,전세보증금반환보증 조건·절차 안내.
SRC-LEAFLET,unverified,전세계약 유의사항 리플렛,발행기관 확인 필요,가이드,확인 필요,전체,전세계약 유의사항 리플렛.pdf,,2026-07-16,원문 수집·재배포 금지,정확한 공식 발행기관·원문 URL·발행일을 확인하지 못해 OfficialSource 제외,계약 유의사항 요약 후보 자료.
SRC-CIVIL-LEASE,official_verified,민법(임대차 관련 발췌),국가법령정보센터·법무부,법령,2026-03-17 시행(법률 제21454호),제536조·제615조·제623조·제626조·제654조(임대차 동시이행·수선·원상회복·상환·준용),SRC-CIVIL-LEASE.txt,https://www.law.go.kr/법령/민법,2026-07-22,재배포 허용: 저작권법 제7조 법령 및 국가법령정보센터 자유이용 정책 적용; 출처 표시,현행 시행일·공포번호·소관기관을 국가법령정보센터에서 확인; 임대차 수선의무(제623조)·원상회복 준용(제654조→제615조) 조문 발췌,임대인 수선의무와 임대차 원상회복 준용의 근거 조문. 표준계약서 수리·원상복구 특약해설의 상위 근거.
